CRIS_No,Event_Key,Events_date,Modality,NHS_No,forenames,surname,DOB,Age_at_Exam,examination,examcd_name,Pat_Type,Site,referrer,referer_name,referal_source,refsrc_name,clinical_history,report_type,Report
3,537,18/06/2018,U,890 888 888,DAVID,WILLIAMS,09/08/1964,53,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710796,LANSDOWN MRJ,RR803,LEEDS GENERAL INFIRMARY,pre-op planining,S,"Ultrasound evaluation of the thyroid gland demonstrates multiple nodules bilaterally. The largest nodule, measuring 1.8 cm in the left lobe, displays a hypoechoic appearance with microcalcifications. The right lobe appears normal, with no significant abnormalities detected."
4,692,10/10/2013,U,891 888 888,SARAH,BROWN,15/02/1989,24,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710797,LANSDOWN MRJ,RR804,LEEDS GENERAL INFIRMARY,pre-op planining,S,"The thyroid gland appears diffusely enlarged with heterogeneous echotexture. Increased vascularity is observed on Doppler imaging, suggesting a possible inflammatory process such as thyroiditis."
5,493,31/08/2019,U,892 888 888,JOHN,TAYLOR,12/10/1974,44,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710798,LANSDOWN MRJ,RR805,LEEDS GENERAL INFIRMARY,pre-op planining,S,Ultrasound examination of the thyroid gland reveals a goitre characterized by diffuse enlargement of the gland without discrete nodules. The echotexture appears heterogeneous with no significant vascularity detected.
6,706,28/05/2016,U,893 888 888,EMILY,MILLER,20/09/1985,30,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710799,LANSDOWN MRJ,RR806,LEEDS GENERAL INFIRMARY,pre-op planining,S,"The patient has a history of prior thyroid surgery. Ultrasound evaluation demonstrates postsurgical changes with absence of the thyroid gland in the left lobe and isthmus, while the right lobe appears normal in size and echotexture."
7,930,09/03/2017,U,894 888 888,MICHAEL,DAVIS,19/06/1979,37,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710800,LANSDOWN MRJ,RR807,LEEDS GENERAL INFIRMARY,pre-op planining,S,"The ultrasound of the neck reveals normal thyroid gland with no significant nodules or abnormalities. Additionally, the cervical lymph nodes appear healthy, with no evidence of enlargement or abnormal vascularity."
8,353,22/12/2018,U,895 888 888,JESSICA,WILSON,29/03/1968,50,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710801,LANSDOWN MRJ,RR808,LEEDS GENERAL INFIRMARY,pre-op planining,S,Ultrasound examination of the thyroid gland demonstrates a solitary nodule measuring 1.2 cm in the right lobe. The nodule has well-defined margins and isoechoic echotexture. No other significant findings are identified.
9,840,10/07/2015,U,896 888 888,MATTHEW,MOORE,14/10/1979,36,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710802,LANSDOWN MRJ,RR809,LEEDS GENERAL INFIRMARY,pre-op planining,S,"The thyroid gland appears normal in size and echotexture with no detectable nodules or abnormalities. Adjacent lymph nodes in the neck also appear healthy, showing no signs of enlargement or abnormal features."
10,214,28/02/2014,U,897 888 888,AMANDA,TAYLOR,05/06/1985,28,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710803,LANSDOWN MRJ,RR810,LEEDS GENERAL INFIRMARY,pre-op planining,S,"Ultrasound evaluation of the thyroid gland reveals a solitary complex nodule measuring 2.5 cm in the left lobe. The nodule exhibits mixed echotexture, indistinct margins, and increased internal vascularity. The right lobe appears normal."
11,929,13/01/2023,U,898 888 888,KEVIN,ANDERSON,09/11/1986,36,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710804,LANSDOWN MRJ,RR811,LEEDS GENERAL INFIRMARY,pre-op planining,S,The thyroid gland appears diffusely enlarged with homogeneous echotexture. No discrete nodules or abnormalities are identified. Adjacent lymph nodes in the neck also appear normal.
12,166,05/03/2019,U,899 888 888,LAURA,THOMAS,20/08/1971,47,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710805,LANSDOWN MRJ,RR812,LEEDS GENERAL INFIRMARY,pre-op planining,S,Ultrasound examination of the thyroid gland reveals a solitary hypoechoic nodule measuring 1.6 cm in the right lobe. The nodule has irregular margins and increased internal vascularity. The left lobe and isthmus appear normal.
13,219,14/10/2013,U,900 888 888,RYAN,JACKSON,10/04/1990,23,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710806,LANSDOWN MRJ,RR813,LEEDS GENERAL INFIRMARY,pre-op planining,S,"The thyroid gland appears normal in size and echotexture, with no significant nodules or abnormalities detected. Adjacent lymph nodes in the neck also appear healthy, with no signs of enlargement or abnormal features."
14,369,19/11/2023,U,901 888 888,REBECCA,WHITE,22/02/1956,67,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710807,LANSDOWN MRJ,RR814,LEEDS GENERAL INFIRMARY,pre-op planining,S,Ultrasound evaluation of the thyroid gland demonstrates multiple nodules bilaterally. The nodules range in size from 0.7 cm to 1.2 cm and display variable echogenicity and irregular margins. No suspicious features are identified.
15,292,25/05/2017,U,902 888 888,JAMES,HARRIS,08/09/1965,52,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710808,LANSDOWN MRJ,RR815,LEEDS GENERAL INFIRMARY,pre-op planining,S,"The patient presents with clinical signs of thyroiditis. Ultrasound examination reveals diffuse enlargement of the thyroid gland with heterogeneous echotexture. Increased vascularity is observed on Doppler imaging, consistent with an inflammatory process."
16,963,02/09/2018,U,903 888 888,ASHLEY,MARTIN,17/03/1998,20,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710809,LANSDOWN MRJ,RR816,LEEDS GENERAL INFIRMARY,pre-op planining,S,"The thyroid gland appears normal in size and echotexture, with no evidence of nodules or abnormalities. The cervical lymph nodes also appear healthy, showing no signs of enlargement or abnormal features."
17,600,09/01/2014,U,904 888 888,CHRISTOPHER,THOMPSON,11/07/1989,24,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710810,LANSDOWN MRJ,RR817,LEEDS GENERAL INFIRMARY,pre-op planining,S,Ultrasound evaluation of the thyroid gland reveals a solitary nodule measuring 1.3 cm in the left lobe. The nodule has hypoechoic echotexture with irregular margins and increased internal vascularity. The right lobe appears normal.
18,774,11/12/2013,U,905 888 888,MELISSA,GARCIA,23/06/1973,40,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710811,LANSDOWN MRJ,RR818,LEEDS GENERAL INFIRMARY,pre-op planining,S,The thyroid gland appears diffusely enlarged with heterogeneous echotexture. No discrete nodules are observed. Adjacent lymph nodes in the neck also appear normal without any signs of enlargement or abnormal features.
19,124,08/08/2019,U,906 888 888,JASON,MARTINEZ,07/01/1980,39,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710812,LANSDOWN MRJ,RR819,LEEDS GENERAL INFIRMARY,pre-op planining,S,"Ultrasound examination of the thyroid gland demonstrates a solitary hypoechoic nodule measuring 1.8 cm in the right lobe. The nodule displays microcalcifications and irregular margins, suggestive of malignancy. The left lobe appears normal."
20,449,23/03/2017,U,907 888 888,HEATHER,ROBINSON,30/05/1981,35,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710813,LANSDOWN MRJ,RR820,LEEDS GENERAL INFIRMARY,pre-op planining,S,"The thyroid gland appears normal in size and echotexture, with no detectable nodules or abnormalities. Adjacent lymph nodes in the neck also appear healthy, showing no signs of enlargement or abnormal features."
21,900,18/06/2016,U,908 888 888,BRIAN,CLARK,15/11/1976,39,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710814,LANSDOWN MRJ,RR821,LEEDS GENERAL INFIRMARY,pre-op planining,S,Ultrasound evaluation of the thyroid gland reveals a multinodular goitre characterized by diffuse enlargement and multiple nodules of varying sizes and echogenicity. No suspicious features or abnormal vascularity are noted.
22,913,01/02/2018,U,909 888 888,MEGAN,RODRIGUEZ,28/04/1985,32,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710815,LANSDOWN MRJ,RR822,LEEDS GENERAL INFIRMARY,pre-op planining,S,"The ultrasound of the thyroid gland reveals a solitary solid nodule in the right lobe measuring 1.5 cm, classified as BTA grade U3. The nodule demonstrates hypoechoic echotexture, irregular margins, and increased internal vascularity. No abnormal lymph nodes are noted in the neck."
23,204,29/04/2014,U,910 888 888,JUSTIN,LEWIS,19/10/1970,43,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710816,LANSDOWN MRJ,RR823,LEEDS GENERAL INFIRMARY,pre-op planining,S,"Ultrasound examination of the thyroid gland demonstrates multiple nodules in both lobes. The largest nodule, measuring 1.8 cm in the left lobe, is classified as BTA grade U4. It exhibits microcalcifications, hypoechoic echotexture, and irregular margins. There are no abnormal lymph nodes observed."
24,450,07/10/2017,U,911 888 888,TIFFANY,LEE,02/03/1996,21,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710817,LANSDOWN MRJ,RR824,LEEDS GENERAL INFIRMARY,pre-op planining,S,"The thyroid gland appears normal in size and echotexture, with no significant nodules detected. Additionally, there are no abnormal lymph nodes seen in the neck."
25,153,20/11/2018,U,912 888 888,DANIEL,WALKER,04/08/1983,35,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710818,LANSDOWN MRJ,RR825,LEEDS GENERAL INFIRMARY,pre-op planining,S,"Ultrasound evaluation of the thyroid gland reveals a solitary solid nodule in the right lobe measuring 1.2 cm, classified as BTA grade U2. The nodule exhibits isoechoic echotexture and well-defined margins. No abnormal lymph nodes are identified."
26,858,09/07/2015,U,913 888 888,AMY,HALL,27/09/1969,46,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710819,LANSDOWN MRJ,RR826,LEEDS GENERAL INFIRMARY,pre-op planining,S,"The thyroid gland demonstrates diffuse enlargement with heterogeneous echotexture. Multiple nodules are observed in both lobes, with the largest nodule measuring 1.5 cm in the left lobe, classified as BTA grade U3. No abnormal lymph nodes are noted in the neck."
27,401,16/05/2016,U,914 888 888,TIMOTHY,YOUNG,13/12/1991,24,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710820,LANSDOWN MRJ,RR827,LEEDS GENERAL INFIRMARY,pre-op planining,S,"Ultrasound examination of the thyroid gland reveals a solitary nodule in the right lobe measuring 1.6 cm, classified as BTA grade U4. The nodule demonstrates hypoechoic echotexture, microcalcifications, and irregular margins. There are no abnormal lymph nodes observed."
28,588,13/09/2013,U,915 888 888,KIMBERLY,ALLEN,26/07/1974,39,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710821,LANSDOWN MRJ,RR828,LEEDS GENERAL INFIRMARY,pre-op planining,S,"The thyroid gland appears normal in size and echotexture, with no discernible nodules or abnormalities. Furthermore, no abnormal lymph nodes are seen in the neck."
29,457,28/03/2023,U,916 888 888,JEFFREY,HERNANDEZ,09/02/1961,61,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710822,LANSDOWN MRJ,RR829,LEEDS GENERAL INFIRMARY,pre-op planining,S,"Ultrasound evaluation of the thyroid gland demonstrates multiple nodules in both lobes, the largest measuring 2.0 cm in the right lobe, classified as BTA grade U4. The nodules exhibit hypoechoic echotexture, irregular margins, and increased internal vascularity. No abnormal lymph nodes are identified."
30,225,05/01/2019,U,917 888 888,JENNIFER,KING,18/06/1967,51,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710823,LANSDOWN MRJ,RR830,LEEDS GENERAL INFIRMARY,pre-op planining,S,"The thyroid gland appears normal in size and echotexture, with no significant nodules detected. Furthermore, there are no abnormal lymph nodes observed in the neck."
31,685,22/08/2017,U,918 888 888,NICHOLAS,WRIGHT,05/10/1997,19,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710824,LANSDOWN MRJ,RR831,LEEDS GENERAL INFIRMARY,pre-op planining,S,"Ultrasound examination of the thyroid gland reveals a solitary solid nodule in the left lobe measuring 1.3 cm, classified as BTA grade U2. The nodule demonstrates isoechoic echotexture and well-defined margins. No abnormal lymph nodes are noted."
32,971,31/12/2013,U,919 888 888,STEPHANIE,LOPEZ,21/04/1972,41,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710825,LANSDOWN MRJ,RR832,LEEDS GENERAL INFIRMARY,pre-op planining,S,Ultrasound examination of the thyroid gland reveals a solitary nodule in the left lobe measuring 1.2 cm. The nodule displays hypoechoic echotexture with irregular margins and increased internal vascularity. Surrounding thyroid tissue appears normal without evidence of goitre or thyroiditis. No abnormal lymph nodes are noted in the neck.
33,599,11/04/2017,U,920 888 888,BRANDON,HILL,08/11/1988,28,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710826,LANSDOWN MRJ,RR833,LEEDS GENERAL INFIRMARY,pre-op planining,S,"Thyroid ultrasound demonstrates diffuse enlargement of the gland with heterogeneous echotexture, suggestive of underlying thyroiditis. Multiple nodules are observed bilaterally, ranging in size from 0.6 cm to 1.4 cm. The largest nodule in the right lobe shows isoechoic echotexture with well-defined margins. Adjacent lymph nodes appear unremarkable."
34,199,07/07/2018,U,921 888 888,ELIZABETH,SCOTT,01/09/1966,52,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710827,LANSDOWN MRJ,RR834,LEEDS GENERAL INFIRMARY,pre-op planining,S,"Ultrasound evaluation of the thyroid gland reveals a normal-sized gland with homogeneous echotexture and no discernible nodules. However, two mildly enlarged lymph nodes measuring 1.3 cm and 1.6 cm are identified in the right neck. The thyroid gland itself appears healthy without evidence of goitre or thyroiditis."
35,668,25/11/2013,U,922 888 888,JOSHUA,GREEN,14/02/1994,19,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710828,LANSDOWN MRJ,RR835,LEEDS GENERAL INFIRMARY,pre-op planining,S,"The thyroid gland appears normal in size and echotexture with no significant nodules or abnormalities. However, Doppler imaging reveals increased vascularity within the gland, suggestive of possible early-stage thyroiditis. No abnormal lymph nodes are identified in the neck."
36,332,10/02/2017,U,923 888 888,CHRISTINA,ADAMS,26/07/1983,33,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710829,LANSDOWN MRJ,RR836,LEEDS GENERAL INFIRMARY,pre-op planining,S,"Ultrasound examination of the thyroid gland demonstrates a solitary nodule measuring 2.1 cm in the right lobe. The nodule exhibits hypoechoic echotexture with microcalcifications and irregular margins, suggestive of malignancy. Surrounding thyroid tissue appears normal. No abnormal lymph nodes are seen in the neck."
37,261,02/10/2023,U,924 888 888,PATRICK,BAKER,03/05/1970,53,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710830,LANSDOWN MRJ,RR837,LEEDS GENERAL INFIRMARY,pre-op planining,S,"The thyroid gland appears diffusely enlarged with heterogeneous echotexture, indicating a possible goitre. No discrete nodules are identified. Additionally, several enlarged lymph nodes measuring up to 1.8 cm are noted in the left neck. The lymph nodes exhibit normal morphology without concerning features."
38,505,15/03/2019,U,925 888 888,ANDREA,GONZALEZ,17/12/1962,56,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710831,LANSDOWN MRJ,RR838,LEEDS GENERAL INFIRMARY,pre-op planining,S,"Ultrasound evaluation reveals a solitary solid nodule measuring 1.7 cm in the left lobe. The nodule demonstrates hypoechoic echotexture, irregular margins, and increased internal vascularity. Furthermore, diffuse enlargement of the thyroid gland is noted, suggestive of underlying goitre. No abnormal lymph nodes are detected in the neck."
39,857,19/05/2018,U,926 888 888,NATHANIEL,NELSON,30/08/1987,30,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710832,LANSDOWN MRJ,RR839,LEEDS GENERAL INFIRMARY,pre-op planining,S,"The thyroid gland appears normal in size and echotexture, with no significant nodules or abnormalities. However, a cluster of enlarged lymph nodes measuring up to 1.5 cm is observed in the right neck. The lymph nodes exhibit normal cortical thickness without any concerning features."
40,214,28/06/2016,U,927 888 888,DANIELLE,CARTER,12/10/1976,39,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710833,LANSDOWN MRJ,RR840,LEEDS GENERAL INFIRMARY,pre-op planining,S,"Thyroid ultrasound reveals multiple nodules in both lobes, the largest measuring 1.9 cm in the left lobe. The nodules exhibit variable echogenicity and irregular margins. Moreover, the thyroid gland appears diffusely enlarged with heterogeneous echotexture, suggestive of a goitrous pattern. No abnormal lymph nodes are seen in the neck."
41,722,09/12/2015,U,928 888 888,CHRISTOPHER,MITCHELL,24/03/1984,31,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710834,LANSDOWN MRJ,RR841,LEEDS GENERAL INFIRMARY,pre-op planining,S,"Ultrasound examination of the thyroid gland demonstrates a normal-sized gland with homogeneous echotexture and no significant nodules or abnormalities. Adjacent lymph nodes in the neck also appear normal, with no signs of enlargement or abnormal features."
42,873,06/01/2017,U,929 888 888,SAMANTHA,PEREZ,09/07/1979,37,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710835,LANSDOWN MRJ,RR842,LEEDS GENERAL INFIRMARY,pre-op planining,S,"Ultrasound examination of the thyroid gland reveals diffuse enlargement with heterogeneous echotexture, suggestive of underlying thyroiditis. No discrete nodules are identified. However, multiple abnormal lymph nodes measuring up to 1.4 cm are observed in the right neck, exhibiting increased vascularity and irregular morphology."
43,966,29/09/2017,U,930 888 888,ZACHARY,ROBERTS,22/11/1964,52,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710836,LANSDOWN MRJ,RR843,LEEDS GENERAL INFIRMARY,pre-op planining,S,"The thyroid gland appears normal in size and echotexture, with no significant nodules or abnormalities. However, a single abnormal lymph node measuring 1.8 cm is noted in the left neck, showing increased cortical thickness and abnormal vascularity. Clinical correlation is recommended to determine the cause."
44,888,02/08/2016,U,931 888 888,KELLY,TURNER,07/04/1996,20,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710837,LANSDOWN MRJ,RR844,LEEDS GENERAL INFIRMARY,pre-op planining,S,"Ultrasound evaluation of the thyroid gland reveals a solitary solid nodule measuring 2.3 cm in the right lobe. The nodule displays hypoechoic echotexture with microcalcifications and irregular margins, raising concern for malignancy. Additionally, multiple enlarged and abnormal lymph nodes are observed in the neck, requiring further evaluation."
45,225,23/04/2018,U,932 888 888,JACOB,PHILLIPS,18/09/1957,60,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710838,LANSDOWN MRJ,RR845,LEEDS GENERAL INFIRMARY,pre-op planining,S,"The thyroid gland appears normal in size and echotexture, with no detectable nodules or abnormalities. However, an abnormal lymph node measuring 1.6 cm is identified in the left neck, demonstrating increased cortical thickness and hypervascularity. Further investigation is recommended to assess its significance."
46,618,12/11/2015,U,933 888 888,BRITTANY,CAMPBELL,01/01/1963,52,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710839,LANSDOWN MRJ,RR846,LEEDS GENERAL INFIRMARY,pre-op planining,S,"Ultrasound examination of the thyroid gland demonstrates multiple nodules in both lobes, the largest measuring 1.5 cm in the left lobe. The nodules exhibit variable echogenicity and irregular margins, necessitating fine-needle aspiration for further characterization. Additionally, abnormal lymph nodes are noted in the neck, indicating possible metastatic involvement."
47,890,08/03/2013,U,934 888 888,JORDAN,EVANS,13/06/1960,53,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710840,LANSDOWN MRJ,RR847,LEEDS GENERAL INFIRMARY,pre-op planining,S,"The thyroid gland appears diffusely enlarged with heterogeneous echotexture, indicative of a goitrous pattern. No discrete nodules are identified. However, numerous abnormal lymph nodes measuring up to 2.2 cm are observed bilaterally in the neck, showing increased cortical thickness and abnormal vascularity."
48,925,25/07/2016,U,935 888 888,JESSICA,PARKER,26/02/1955,61,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710841,LANSDOWN MRJ,RR848,LEEDS GENERAL INFIRMARY,pre-op planining,S,"Ultrasound evaluation reveals a solitary hypoechoic nodule measuring 1.8 cm in the right lobe, exhibiting microcalcifications and irregular margins, suggestive of malignancy. Furthermore, abnormal lymph nodes with increased cortical thickness and abnormal vascularity are observed in the right neck, raising concern for nodal metastasis."
49,304,03/10/2019,U,936 888 888,ALEXIS,MORRIS,10/08/1968,51,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710842,LANSDOWN MRJ,RR849,LEEDS GENERAL INFIRMARY,pre-op planining,S,"The thyroid gland appears normal in size and echotexture, with no significant nodules or abnormalities. However, an abnormal lymph node measuring 1.9 cm is identified in the left neck, demonstrating increased cortical thickness and hypervascularity. Further investigation is warranted to evaluate its etiology."
50,573,27/01/2014,U,937 888 888,JASON,JAMES,04/12/1961,52,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710843,LANSDOWN MRJ,RR850,LEEDS GENERAL INFIRMARY,pre-op planining,S,"Thyroid ultrasound reveals multiple nodules in both lobes, the largest measuring 2.1 cm in the right lobe. The nodules exhibit heterogeneous echogenicity and irregular margins, necessitating fine-needle aspiration for accurate diagnosis. Additionally, abnormal lymph nodes with increased cortical thickness and abnormal vascularity are observed in the neck."
51,173,01/12/2017,U,938 888 888,DANIELLE,CARTER,05/04/1974,43,UTHPY,US Thyroid & parathyroid,OP,LGI       ,C2710844,LANSDOWN MRJ,RR851,LEEDS GENERAL INFIRMARY,pre-op planining,S,"Ultrasound examination of the thyroid gland demonstrates a normal-sized gland with homogeneous echotexture and no significant nodules or abnormalities. However, multiple abnormal lymph nodes with increased cortical thickness and abnormal vascularity are identified in the neck, indicating possible pathology."
